ganz,"whole, all the"
groß,"big, large, great"
gut,good
neu,new
"erste (r, s)",first
lang,long
deutsch,German
klein,"small, little"
alt,old
hoch,"high, tall"
einfach,"simple, easy"
"letzte (r, s)",last
gleich,"same, right away, just"
möglich,possible
eigen,own
schön,"beautiful, pleasant, good"
spät,late
wichtig,important
"weitere (r, s)",additional
genau,exactly
jung,young
kurz,short
stark,strong
richtig,correct
verschieden,"different, diverse"
bestimmt,"special, certain"
besser,better
schnell,fast
sicher,"safe, secure, certain"
"nächste (r, s)",next
politisch,political
klar,clear
schwer,"difficult, heavy"
einzeln,individual
bekannt,well-known
leicht,"light, easy"
rund,round
frei,free
früh,early
unterschiedlich,"different, variable"
schlecht,bad
deutlich,clear
allgemein,general
einzig,"only, single"
gemeinsam,"common, mutual"
"nahe, nah","near, close"
voll,full
direkt,"direct, straight"
international,international
sozial,social
"beste (r,s)",best
rot,red
offen,open
meiste,most
"besondere (r,s)",special
gewiss,certain
öffentlich,public
halb,half
wahrscheinlich,probably
europäisch,European
wesentlich,"essential, fundamental"
ähnlich,similar
häufig,frequent
schwarz,black
völlig,complete
gering,"low, small"
schwierig,difficult
praktisch,practical
persönlich,personal
–jährig,years old
modern,modern
tief,deep
tatsächlich,"real, actual"
zusätzlich,additional
wirtschaftlich,"economic, financial"
interessant,interesting
relativ,relative
gleichzeitig,simultaneous
grün,green
weiß,white
gesamt,"whole, entire"
speziell,"special, specific"
entscheidend,decisive
eng,"narrow, close"
technisch,technical
langsam,slow
ständig,constant
notwendig,necessary
rein,"pure, clear, clean"
englisch,English
wissenschaftlich,"scientific, scholarly"
falsch,"false, wrong"
fremd,"foreign, strange"
selten,rare
normal,normal
wahr,true
privat,private
tot,dead
fest,"firm, solid"
positiv,positive
zentral,central
fertig,"finished, ready"
grundsätzlich,fundamental
breit,"wide, broad"
hart,hard
vorhanden,"available, existing"
innere,internal
künftig,future
historisch,historical
knapp,"scarce, slim"
aktuell,current
übrig,"remaining, left"
schlimm,"bad, serious"
schlimmer,worse
lieb,"dear, kind"
dunkel,dark
