"provided by u/math_runner
",
das Jahr,die Jahre
das Mal,die Male
das Beispiel,die Beispiele
die Zeit,die Zeiten
die Frau,die Frauen
der Mensch,die Menschen
das Deutsch,
das Kind,die Kinder
der Tag,die Tage
der Mann,die Männer
das Land,die Länder
die Frage,die Fragen
das Haus,die Häuser
der Fall,die Fälle
die Leute,
die Arbeit,die Arbeiten
das Prozent,die Prozente
die Hand,die Hände
die Stadt,die Städte
der Herr,die Herren
der/das Teil,die Teile
das Problem,die Probleme
die Welt,die Welten
das Recht,die Rechte
das Ende,die Enden
die Million,die Millionen
die Schule,die Schulen
die Woche,die Wochen
der Vater,die Väter
die Seite,die Seiten
das Leben,die Leben
die Mutter,die Mütter
der Grund,die Gründe
das Auge,die Augen
das Wort,die Wörter
das Geld,die Gelder
die Art,die Arten
der Bereich,die Bereiche
der Weg,die Wege
die Stunde,die Stunden
der Name,die Namen
die Geschichte,die Geschichten
die Gesellschaft,die Gesellschaften
der Kopf,die Köpfe
das Paar,die Paare
die Möglichkeit,die Möglichkeiten
das Unternehmen,die Unternehmen
das Bild,die Bilder
das Buch,die Bücher
das Wasser,die Wasser
die Stelle,die Stellen
die Form,die Formen
die Entwicklung,die Entwicklungen
der Monat,die Monate
die Familie,die Familien
der Morgen,die Morgen
der Abend,die Abende
die Aufgabe,die Aufgaben
die Universität,die Universitäten
der Sinn,die Sinne
der Staat,die Staaten
das Ziel,die Ziele
der Freund,die Freunde
das Thema,die Themen
die Person,die Personen
der Euro,die Euro
die Nacht,die Nächte
das Ding,die Dinge
der Raum,die Räume
der Blick,die Blicke
der Platz,die Plätze
die Zahl,die Zahlen
das System,die Systeme
die Uhr,die Uhren
die Eltern,
die Straße,die Straßen
die Minute,die Minuten
die Gruppe,die Gruppen
der Wert,die Werte
das Gesicht,die Gesichter
die Sprache,die Sprachen
der Anfang,die Anfänge
der Ort,die Orte
der Moment,die Momente
die Folge,die Folgen
das Interesse,die Interessen
die Milliarde,die Milliarden
die Rolle,die Rollen
die Tür,die Türen
der Schüler,die Schüler
die Bedeutung,die Bedeutungen
der Text,die Texte
das Ergebnis,die Ergebnisse
der Krieg,die Kriege
die Weise,die Weisen
die Regierung,die Regierungen
das Stück,die Stücke
die Wohnung,die Wohnungen
das Gespräch,die Gespräche
der Meter,die Meter
der Punkt,die Punkte
die Situation,die Situationen
der Lehrer,die Lehrer
der Preis,die Preise
die Abbildung,die Abbildungen
der Begriff,die Begriffe
die Funktion,die Funktionen
der Boden,die Böden
das Jahrhundert,die Jahrhunderte
der Sohn,die Söhne
das Werk,die Werke
die Stimme,die Stimmen
der Rahmen,die Rahmen
die Richtung,die Richtungen
das Programm,die Programme
die Angst,die Ängste
die Information,die Informationen
die Kunst,die Künste
die Musik,die Musiken
die Politik,die Politiken
der Beruf,die Berufe
die Regel,die Regeln
der Schritt,die Schritte
der Absatz,die Absätze
der Gott,die Götter
das Auto,die Autos
die Beziehung,die Beziehungen
die Erfahrung,die Erfahrungen
der Tisch,die Tische
die Zukunft,die Zukünfte
das Spiel,die Spiele
das Gefühl,die Gefühle
das Licht,die Lichter
der Präsident,die Präsidenten
der Markt,die Märkte
die Bank,die Bänke
die Partei,die Parteien
die Tochter,die Töchter
das Verhältnis,die Verhältnisse
die Kirche,die Kirchen
der Film,die Filme
der Gedanke,die Gedanken
der Doktor,die Doktoren
das Mädchen,die Mädchen
die Entscheidung,die Entscheidungen
der Prozess,die Prozesse
der Betrieb,die Betriebe
der Zusammenhang,die Zusammenhänge
das Gesetz,die Gesetze
der Arm,die Arme
die Firma,die Firmen
die Kraft,die Kräfte
der Student,die Studenten
das Zuhause,
die Chance,die Chancen
die Zeitung,die Zeitungen
der Erfolg,die Erfolge
die Grenze,die Grenzen
der Satz,die Sätze
das Angebot,die Angebote
das Internet,
die Kultur,die Kulturen
die Lage,die Lagen
die Leistung,die Leistungen
das Mitglied,die Mitglieder
das Projekt,die Projekte
das Zimmer,die Zimmer
der Chef,die Chefs
der Zug,die Züge
der Arzt,die Ärzte
das Auftreten,
der Fuß,die Füße
